# mammos csv v3
#----------------------------------------
# Hysteresis loop.
# Generated from mammos_mumag 0.11.0.
# `configuration_type` is the name of the corresponding vtu file containing the magnetization.
# `B_ext` is the applied magnetic flux density.
# `J` is the polarisation in the direction of the applied magnetic flux.
# `Jx`, `Jy`, `Jz` are the components of the polarisation.
# `energy_density` is the energy density.
#----------------------------------------
,MagneticFluxDensity,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,EnergyDensity
,,,,,,
,https://w3id.org/emmo#EMMO_961d1aba_f75e_4411_aaa4_457f7516ed6b,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo/domain/magnetic-materials#EMMO_56258d3a-f2ee-554e-af99-499dd8620457
,T,T,T,T,T,J / m3
configuration_type,B_ext,J,Jx,Jy,Jz,energy_density
1,0.6049999999999996,2.1362752928849167,0.0002584612726119832,9.563894045251099e-05,2.1362752928849167,-491302.940573609
1,0.5999999999999996,2.1362752307427115,0.0002604516072530476,9.637420153777504e-05,2.1362752307427115,-482802.9713789609
1,0.5949999999999996,2.1362751675440084,0.0002624680305495303,9.711904198318348e-05,2.1362751675440084,-474303.0024337276
1,0.5899999999999996,2.1362751033246448,0.00026452127059553517,9.787725390621399e-05,2.1362751033246448,-465803.0337419058
1,0.5849999999999996,2.1362750379883413,0.0002666017016732915,9.864532289827263e-05,2.1362750379883413,-457303.06530788966
1,0.5799999999999996,2.136274971575557,0.00026872098441240675,9.942760204412089e-05,2.136274971575557,-448803.0971358727
1,0.5749999999999996,2.1362749039784372,0.00027086863541568655,0.0001002200020384915,2.1362749039784372,-440303.1292305438
1,0.5699999999999996,2.1362748352427157,0.00027305732370517996,0.00010102751965540376,2.1362748352427157,-431803.1615963154
1,0.5649999999999996,2.136274765247722,0.00027527563836504725,0.00010184542512077059,2.136274765247722,-423303.19423818035
1,0.5599999999999996,2.1362746940452046,0.00027753740171582224,0.00010267944035734592,2.1362746940452046,-414803.2271608122
1,0.5549999999999996,2.136274621497685,0.0002798302283973567,0.00010352415819864903,2.136274621497685,-406303.2603695316
1,0.5499999999999996,2.136274547664453,0.0002821690784895637,0.00010438599990415496,2.136274547664453,-397803.29386931454
1,0.5449999999999996,2.136274472383378,0.0002845409013338897,0.0001052590707427932,2.136274472383378,-389303.3276658889
1,0.5399999999999996,2.1362743957266934,0.0002869612459455333,0.00010615006971165498,2.1362743957266934,-380803.3617643437
1,0.5349999999999996,2.1362743174805594,0.000289417134294648,0.00010705332816586904,2.1362743174805594,-372303.396171366
1,0.5299999999999996,2.1362742377649835,0.0002919225249707293,0.00010797403399894016,2.1362742377649835,-363803.4308924239
1,0.5249999999999996,2.136274156159959,0.0002944606203567306,0.0001089071664169743,2.136274156159959,-355303.4659349685
1,0.5199999999999996,2.136274073048928,0.00029704477317234033,0.00010985370801093645,2.136274073048928,-346803.5013047662
1,0.5149999999999996,2.1362739878172414,0.00029970339733379126,0.00011083362752004335,2.1362739878172414,-338303.537009969
1,0.5099999999999996,2.1362739005880194,0.000302387604207532,0.00011180813825038085,2.1362739005880194,-329803.5730580482
1,0.5049999999999996,2.136273810601511,0.0003052191862346366,0.0001128582190190799,2.136273810601511,-321303.6094590744
1,0.49999999999999956,2.1362737168299466,0.0003079865270954901,0.00011383910787809532,2.1362737168299466,-312803.64622767846
2,0.49499999999999955,2.105050959687394,0.0002864759725512139,0.00011602343715955031,2.105050959687394,-304425.57837616524
3,0.48999999999999955,2.0889483807425786,0.00027977998463418253,0.00011812808267964775,2.0889483807425786,-296081.8492769158
4,0.48499999999999954,2.0727060433786773,0.00027470974518195633,0.0001187816516982602,2.0727060433786773,-287802.4618396722
5,0.47999999999999954,2.05635563257653,0.0002681934963892934,0.00012132446870397734,2.05635563257653,-279587.93585339887
6,0.47499999999999953,2.039856389428591,0.0002621615770335137,0.00012341912089023437,2.039856389428591,-271438.7554407226
7,0.46999999999999953,2.023266732118234,0.0002564234381362075,0.0001251738515099903,2.023266732118234,-263355.3745562365
8,0.4649999999999995,2.006562522562904,0.0002505605180297729,0.00012697294349503272,2.006562522562904,-255338.21798716034
9,0.4599999999999995,1.9897892130723909,0.00024513303125558457,0.00012799272338197103,1.9897892130723909,-247387.6837373953
10,0.4549999999999995,1.972901269589029,0.00023909504831398675,0.00012951657457953685,1.972901269589029,-239504.14769542567
11,0.4499999999999995,1.9559300729853708,0.00023392013081462043,0.00013058729945399333,1.9559300729853708,-231687.9592292673
12,0.4449999999999995,1.9388742315691667,0.0002280941766924927,0.00013152796181860717,1.9388742315691667,-223939.44867266685
13,0.4399999999999995,1.9217587422139493,0.00022245554085326597,0.00013231840272862142,1.9217587422139493,-216258.92615111702
14,0.4349999999999995,1.9045533979175924,0.0002168377533386552,0.0001324788521935602,1.9045533979175924,-208646.6835321848
15,0.4299999999999995,1.8873061460616,0.00021183568263185616,0.00013315071372304837,1.8873061460616,-201102.9954082542
16,0.4249999999999995,1.8699749440647517,0.0002057072855383106,0.0001328580280919255,1.8699749440647517,-193628.1202828451
17,0.4199999999999995,1.8525874340861654,0.00019967875678057436,0.00013263768705138007,1.8525874340861654,-186222.3023518977
18,0.4149999999999995,1.835145984603771,0.00019399903123770807,0.0001317987386032863,1.835145984603771,-178885.77171816712
19,0.4099999999999995,1.8176530657686354,0.0001875102841662277,0.00013111651225947472,1.8176530657686354,-171618.74574235236
20,0.40499999999999947,1.8001167180481987,0.00018127094668592776,0.00012951413053794233,1.8001167180481987,-164421.42969664134
21,0.39999999999999947,1.7825175316669513,0.00017360691469857302,0.00012714126299440723,1.7825175316669513,-157294.0182896893
22,0.39499999999999946,1.7648824127282121,0.00016622654561482066,0.0001281216630390393,1.7648824127282121,-150236.69532253194
23,0.38999999999999946,1.7471927638403038,0.00015932205866568848,0.00012604774058640363,1.7471927638403038,-143249.63512164826
24,0.38499999999999945,1.7294698999575429,0.00015111295648759902,0.00012440806250363303,1.7294698999575429,-136333.0031193899
25,0.37999999999999945,1.711718611468326,0.00014210967681404108,0.00012196684499582046,1.711718611468326,-129486.9563647589
26,0.37499999999999944,1.6939266296023539,0.00013239485243341181,0.00011990517932880923,1.6939266296023539,-122711.6438360983
27,0.36999999999999944,1.6760868187665932,0.00012246665445048987,0.00011748070852311651,1.6760868187665932,-116007.20745407585
28,0.36499999999999944,1.658233143308671,0.00011103229889837365,0.00011453609649892809,1.658233143308671,-109373.78199080481
29,0.35999999999999943,1.6403279267391995,9.940078557145231e-05,0.00011222251642142657,1.6403279267391995,-102811.49578572316
30,0.3549999999999994,1.622405252729039,8.674862091405234e-05,0.00010937707332308573,1.622405252729039,-96320.47316947779
